en	meaning_en	fr_translation	fr_gender	de_translation	de_gender	es_translation	es_gender	it_translation	it_gender	pt_translation	pt_gender	ru_translation	ru_gender	ar_translation	ar_gender	hi_translation	hi_gender
abbey	A building or buildings occupied by a community of monks or nuns.	abbaye	f	Abtei	f	abadía	f	abbazia	f	abadia	f	аббатство	n	دير	m	मठ	m
abbreviation	A shortened form of a word or phrase.	abréviation	f	Abkürzung	f	abreviatura	f	abbreviazione	f	abreviatura	f	сокращение	n	اختصار	m	संक्षेप	m
ability	Possession of the means or skill to do something.	capacité	f	Fähigkeit	f	capacidad	f	capacità	f	capacidade	f	способность	f	قدرة	f	क्षमता	f
abnormality	The quality of being unusual or different from normal.	anormalité	f	Abnormalität	f	anormalidad	f	anormalità	f	anormalidade	f	аномалия	f	شذوذ	m	असामान्यता	f
abortion	The deliberate termination of a pregnancy.	avortement	m	Abtreibung	f	aborto	m	aborto	m	aborto	m	аборт	m	إجهاض	m	गर्भपात	m
absence	Lack; not being present; missing; vacancy.	absence	f	Abwesenheit	f	ausencia	f	assenza	f	ausência	f	отсутствие	n	غياب	m	अनुपस्थिति	f
absolute	Certainty; completeness; something without limits or conditions.	absolu	m	Absolutes	n	absoluto	m	assoluto	m	absoluto	m	абсолют	m	مطلق	m	निरपेक्ष	m
abstract	Summary; concept; idea separated from concrete reality.	abrégé	m	Zusammenfassung	f	resumen	m	riassunto	m	resumo	m	резюме	n	ملخص	m	सारांश	m
abstraction	The quality of dealing with ideas rather than events.	abstraction	f	Abstraktion	f	abstracción	f	astrazione	f	abstração	f	абстракция	f	تجريد	m	अमूर्तता	f
absurd	Nonsense; something unreasonable or illogical.	absurdité	f	Absurdität	f	absurdo	m	assurdo	m	absurdo	m	абсурд	m	عبث	m	असंगति	f
absurdity	State of being ridiculous; foolishness; nonsense; illogical situation.	absurdité	f	Absurdität	f	absurdidad	f	assurdità	f	absurdidade	f	абсурдность	f	عبثية	f	असंगति	f
abundance	A very large quantity of something.	abondance	f	Überfluss	m	abundancia	f	abbondanza	f	abundância	f	изобилие	n	وفرة	f	प्रचुरता	f
abuse	The improper use of something or cruel treatment of someone.	abus	m	Missbrauch	m	abuso	m	abuso	m	abuso	m	злоупотребление	n	إساءة	f	दुरुपयोग	m
academy	A school for special training or higher education.	académie	f	Akademie	f	academia	f	accademia	f	academia	f	академия	f	أكاديمية	f	अकादमी	m
accent	Pronunciation; emphasis; stress; dialect.	accent	m	Akzent	m	acento	m	accento	m	sotaque	m	акцент	m	لهجة	f	उच्चारण	m
access	Entry; approach; availability; admission.	accès	m	Zugang	m	acceso	m	accesso	m	acesso	m	доступ	m	وصول	m	पहुँच	m
accessory	An additional item that complements something.	accessoire	m	Zubehör	n	accesorio	m	accessorio	m	acessório	m	аксессуар	m	إكسسوار	m	उपकरण	m
accident	Mishap; crash; unplanned event; injury.	accident	m	Unfall	m	accidente	m	incidente	m	acidente	m	несчастный случай	m	حادث	m	दुर्घटना	f
accommodation	Lodging; adjustment; compromise; housing.	hébergement	m	Unterkunft	f	alojamiento	m	sistemazione	f	acomodação	f	жильё	n	إقامة	f	आवास	m
accomplishment	Something that has been achieved successfully.	réalisation	f	Leistung	f	logro	m	realizzazione	f	realização	f	достижение	n	إنجاز	m	उपलब्धि	f
accord	An official agreement or treaty.	accord	m	Vereinbarung	f	acuerdo	m	accordo	m	acordo	m	соглашение	n	اتفاق	m	समझौता	m
account	Report; record; bill; explanation.	compte	m	Konto	n	cuenta	f	conto	m	conta	f	счёт	m	حساب	m	खाता	m
accounting	The action or process of keeping financial accounts.	comptabilité	f	Buchhaltung	f	contabilidad	f	contabilità	f	contabilidade	f	бухгалтерия	f	محاسبة	f	लेखांकन	m
accumulation	The acquisition or gradual gathering of something.	accumulation	f	Ansammlung	f	acumulación	f	accumulo	m	acumulação	f	накопление	n	تراكم	m	संचय	m
achievement	Accomplishment; success; attainment; feat.	réalisation	f	Errungenschaft	f	logro	m	traguardo	m	realização	f	достижение	n	إنجاز	m	उपलब्धि	f
acid	Chemical; sour substance; corrosive; bitter.	acide	m	Säure	f	ácido	m	acido	m	ácido	m	кислота	f	حمض	m	अम्ल	m
acquaintance	A person one knows slightly.	connaissance	f	Bekanntschaft	f	conocido	m	conoscente	m	conhecido	m	знакомый	m	معارف	m	परिचित	m
acquisition	Obtaining; purchase; gaining; learning.	acquisition	f	Erwerb	m	adquisición	f	acquisizione	f	aquisição	f	приобретение	n	استحواذ	m	अधिग्रहण	m
acquittal	Legal judgment of not guilty.	acquittement	m	Freispruch	m	absolución	f	assoluzione	f	absolvição	f	оправдание	n	براءة	f	बरी	f
acre	A unit of land area equal to 4,840 square yards.	acre	m	Acker	m	acre	m	acre	m	acre	m	акр	m	فدان	m	एकड	m
act	A thing done; a deed or action.	acte	m	Tat	f	acto	m	atto	m	ato	m	деяние	n	فعل	m	कार्य	m
acting	Performing as actor; temporary duty; theatrical performance; pretending.	intérim	m	Schauspielerei	f	actuación	f	recitazione	f	atuação	f	игра	f	تمثيل	m	अभिनय	m
action	Activity; deed; behavior; movement.	action	f	Handlung	f	acción	f	azione	f	ação	f	действие	n	عمل	m	कर्म	m
active	Participant; person engaged in activity; energetic; busy.	participant	m	Teilnehmer	m	participante	m	partecipante	m	participante	m	участник	m	مشارك	m	सहभागी	m
activity	Action; pursuit; task; movement.	activité	f	Aktivität	f	actividad	f	attività	f	atividade	f	деятельность	f	نشاط	m	गतिविधि	f
actor	Performer; player; participant; agent.	acteur	m	Schauspieler	m	actor	m	attore	m	ator	m	актёр	m	ممثل	m	अभिनेता	m
actress	A female performer in theater, film, or television.	actrice	f	Schauspielerin	f	actriz	f	attrice	f	atriz	f	актриса	f	ممثلة	f	अभिनेत्री	f
actuality	Actual existence; reality.	actualité	f	Wirklichkeit	f	actualidad	f	attualità	f	atualidade	f	действительность	f	واقعية	f	वास्तविकता	f
adaptation	Adjustment; modification; version; evolution.	adaptation	f	Anpassung	f	adaptación	f	adattamento	m	adaptação	f	адаптация	f	تكييف	m	अनुकूलन	m
addiction	The condition of being dependent on a particular substance.	dépendance	f	Sucht	f	adicción	f	dipendenza	f	vício	m	зависимость	f	إدمان	m	लत	m
addition	Extra; supplement; increase; math operation.	ajout	m	Zusatz	m	adición	f	aggiunta	f	adição	f	добавление	n	إضافة	f	योग	m
additive	A substance added to improve or preserve something.	additif	m	Zusatzstoff	m	aditivo	m	additivo	m	aditivo	m	добавка	f	مضاف	m	मिलावट	m
address	Location; speech; handling; residence.	adresse	f	Adresse	f	dirección	f	indirizzo	m	endereço	m	адрес	m	عنوان	m	पता	m
adherence	Steady devotion to belief or practice.	adhérence	f	Einhaltung	f	adherencia	f	adesione	f	aderência	f	приверженность	f	التزام	m	पालन	m
administration	Management; government; control; leadership.	administration	f	Verwaltung	f	administración	f	amministrazione	f	administração	f	администрация	f	إدارة	f	प्रशासन	m
admiral	A senior naval officer.	amiral	m	Admiral	m	almirante	m	ammiraglio	m	almirante	m	адмирал	m	أميرال	m	राजसिंह	m
admiration	Respect and warm approval.	admiration	f	Bewunderung	f	admiración	f	ammirazione	f	admiração	f	восхищение	n	إعجاب	m	प्रशंसा	f
admission	Entry; confession; acknowledgment; acceptance.	admission	f	Eintritt	m	admisión	f	ammissione	f	admissão	f	поступление	n	قبول	m	प्रवेश	m
adornment	Decoration; ornament; embellishment; decorative item.	parure	f	Schmuck	m	adorno	m	adorno	m	enfeite	m	украшение	n	زينة	f	आभूषण	m
adult	Grown person; mature; full-grown; of age.	adulte	m	Erwachsener	m	adulto	m	adulto	m	adulto	m	взрослый	m	بالغ	m	वयस्क	m
advance	Progress; improvement; loan; forward movement.	avance	f	Fortschritt	m	avance	m	avanzamento	m	avanço	m	прогресс	m	تقدم	m	तरक्की	f
advantage	Benefit; edge; profit; superiority.	avantage	m	Vorteil	m	ventaja	f	vantaggio	m	vantagem	f	преимущество	n	ميزة	f	लाभ	m
adventure	Exciting experience; journey; quest; exploration.	aventure	f	Abenteuer	n	aventura	f	avventura	f	aventura	f	приключение	n	مغامرة	f	साहसिक कार्य	m
adversary	An opponent or enemy.	adversaire	m	Gegner	m	adversario	m	avversario	m	adversário	m	противник	m	خصم	m	शत्रु	m
adversity	Difficult or unpleasant situation.	adversité	f	Widrigkeit	f	adversidad	f	avversità	f	adversidade	f	несчастье	n	شدة	f	विपत्ति	f
advertisement	Commercial; promotion; ad; publicity.	publicité	f	Werbung	f	anuncio	m	pubblicità	f	publicidade	f	реклама	f	إعلان	m	विज्ञापन	m
advertiser	Person who advertises; company promoting products; marketing professional.	annonceur	m	Werber	m	anunciante	m	pubblicitario	m	anunciante	m	рекламодатель	m	معلن	m	विज्ञापनदाता	m
advice	Counsel; guidance; suggestion; recommendation.	conseil	m	Rat	m	consejo	m	consiglio	m	conselho	m	совет	m	نصيحة	f	सलाह	m
adviser	A person who gives advice in a particular field.	conseiller	m	Berater	m	asesor	m	consigliere	m	conselheiro	m	советник	m	مستشار	m	सलाहकार	m
advocacy	Public support for or recommendation of a particular cause.	plaidoyer	m	Fürsprache	f	abogacía	f	sostegno	m	defesa	f	пропаганда	f	دفاع	m	वकालत	m
affair	Matter; event; relationship; business.	affaire	f	Angelegenheit	f	asunto	m	affare	m	assunto	m	дело	n	شأن	m	मामला	m
affection	Fondness; love; warmth; tenderness.	affection	f	Zuneigung	f	afecto	m	affetto	m	afeição	f	любовь	f	محبة	f	स्नेह	m
affidavit	Sworn written statement used as evidence.	affidavit	m	Eidesstattliche Erklärung	f	declaración jurada	f	affidavit	m	declaração juramentada	f	аффидевит	m	إفادة محلفة	f	शपथ पत्र	m
affinity	Natural liking; attraction; relationship.	affinité	f	Affinität	f	afinidad	f	affinità	f	afinidade	f	сродство	n	قرب	m	सादृश्य	m
aftercare	Care provided after treatment or surgery.	suivi	m	Nachsorge	f	postratamiento	m	assistenza post-operatoria	f	pós-tratamento	m	послеоперационный уход	m	رعاية لاحقة	f	उपचार	m
afternoon	Time between noon and evening.	après-midi	m	Nachmittag	m	tarde	f	pomeriggio	m	tarde	f	послеобед	m	بعد الظهر	m	दोपहर	m
age	Length of life; era; period; maturity.	âge	m	Alter	n	edad	f	età	f	idade	f	возраст	m	عمر	m	उम्र	f
agency	Organization providing services; action; power.	agence	f	Agentur	f	agencia	f	agenzia	f	agência	f	агентство	n	وكالة	f	एजेंसी	f
agenda	List of items to be discussed; program.	ordre du jour	m	Tagesordnung	f	agenda	f	agenda	f	agenda	f	повестка дня	f	جدول أعمال	m	कार्यसूची	f
agent	Representative; spy; factor; broker.	agent	m	Agent	m	agente	m	agente	m	agente	m	агент	m	وكيل	m	एजेंट	m
aggregate	Total sum or collection of separate parts.	agrégat	m	Aggregat	n	agregado	m	aggregato	m	agregado	m	агрегат	m	مجموع	m	समुच्चय	m
agitation	State of anxiety; unrest; stirring.	agitation	f	Aufregung	f	agitación	f	agitazione	f	agitação	f	волнение	n	قلق	m	आंदोलन	m
agony	Extreme physical or mental suffering.	agonie	f	Agonie	f	agonía	f	agonia	f	agonia	f	агония	f	عذاب	m	पीड़ा	f
agreement	Contract; accord; harmony; deal.	accord	m	Vereinbarung	f	acuerdo	m	accordo	m	acordo	m	соглашение	n	اتفاق	m	समझौता	f
agriculture	Farming; cultivation of crops and livestock.	agriculture	f	Landwirtschaft	f	agricultura	f	agricoltura	f	agricultura	f	сельское хозяйство	n	زراعة	f	कृषि	f
aid	Help; assistance; support; relief.	aide	f	Hilfe	f	ayuda	f	aiuto	m	ajuda	f	помощь	f	مساعدة	f	सहायता	f
aide	Assistant; helper; supporter.	assistant	m	Assistent	m	asistente	m	assistente	m	assistente	m	помощник	m	مساعد	m	सहायक	m
aim	Purpose; goal; target; intention.	but	m	Ziel	n	objetivo	m	obiettivo	m	objetivo	m	цель	f	هدف	m	लक्ष्य	m
air	Atmosphere; gas mixture; broadcast.	air	m	Luft	f	aire	m	aria	f	ar	m	воздух	m	هواء	m	हवा	f
airhead	Silly or stupid person.	écervele	m	Hohlkopf	m	cabeza hueca	f	testa vuota	f	cabeça oca	f	пустомеля	m	مغفل	m	मूर्ख	m
airport	A complex for aircraft operations.	aéroport	m	Flughafen	m	aeropuerto	m	aeroporto	m	aeroporto	m	аэропорт	m	مطار	m	हवाई अड्डा	f
airway	Route regularly used by aircraft.	voie aérienne	f	Flugstrecke	f	vía aérea	f	via aerea	f	via aérea	f	воздушная трасса	f	ممر جوي	m	वायुमार्ग	m
alarm	Warning signal; device that alerts.	alarme	f	Alarm	m	alarma	f	allarme	m	alarme	m	сигнал тревоги	m	إنذار	m	अलार्म	m
alaska	Largest state in the United States.	Alaska	f	Alaska	n	Alaska	f	Alaska	m	Alaska	m	Аляска	f	ألاسكا	f	अलास्का	m
album	Collection of photographs or music recordings.	album	m	Album	n	álbum	m	album	m	álbum	m	альбом	m	ألبوم	m	अल्बम	m
