en	meaning_en	example_en
abbey	A building or buildings occupied by a community of monks or nuns.	Westminster Abbey has hosted coronations for centuries of British monarchs.
abbreviation	A shortened form of a word or phrase.	Medical professionals commonly use 'Dr.' as an abbreviation for Doctor.
ability	Possession of the means or skill to do something.	Her ability to solve complex problems impressed the entire team.
abnormality	The quality of being unusual or different from normal.	Doctors investigate any abnormality found during medical examinations.
abortion	The deliberate termination of a pregnancy.	Medical professionals provide counseling regarding abortion procedures.
absence	Lack; not being present; missing; vacancy.	Her absence from the meeting was noted by everyone on the committee.
absolute	Certainty; completeness; something without limits or conditions.	Philosophers debate whether moral absolute exists or if ethics are relative.
abstract	Summary; concept; idea separated from concrete reality.	The author provided an abstract of the research paper.
abstraction	The quality of dealing with ideas rather than events.	Mathematical abstraction helps solve complex theoretical problems.
absurd	Nonsense; something unreasonable or illogical.	The comedy show embraced the absurd with illogical humor.
absurdity	State of being ridiculous; foolishness; nonsense; illogical situation.	She couldn't help but laugh at the absurdity of wearing formal clothes to paint the fence.
abundance	A very large quantity of something.	Natural forests provide an abundance of wildlife habitats.
abuse	The improper use of something or cruel treatment of someone.	Substance abuse affects millions of people worldwide.
academy	A school for special training or higher education.	She enrolled in a prestigious academy to study classical music.
accent	Pronunciation; emphasis; stress; dialect.	His British accent made him easily recognizable in the American city.
access	Entry; approach; availability; admission.	Students need a special card to gain access to the university library.
accessory	An additional item that complements something.	She bought a beautiful necklace as an accessory for her wedding dress.
accident	Mishap; crash; unplanned event; injury.	Insurance companies investigate every accident claim thoroughly.
accommodation	Lodging; adjustment; compromise; housing.	Tourists book accommodation months in advance for popular destinations.
accomplishment	Something that has been achieved successfully.	Graduating from university was her greatest accomplishment so far.
accord	An official agreement or treaty.	A diplomatic accord was reached between the two countries.
account	Report; record; bill; explanation.	She gave a detailed account of what happened during the meeting.
accounting	The action or process of keeping financial accounts.	Small businesses need proper accounting to track expenses and income.
accumulation	The acquisition or gradual gathering of something.	Wealth accumulation requires disciplined saving and smart investments.
achievement	Accomplishment; success; attainment; feat.	Winning the championship was the team's greatest achievement this year.
acid	Chemical; sour substance; corrosive; bitter.	Battery acid is extremely dangerous and requires protective equipment.
acquaintance	A person one knows slightly.	I met an old acquaintance from college at the coffee shop today.
acquisition	Obtaining; purchase; gaining; learning.	Google's acquisition of YouTube transformed online video sharing.
acquittal	Legal judgment of not guilty.	After reviewing all evidence, the jury reached an acquittal verdict.
acre	A unit of land area equal to 4,840 square yards.	Farmers typically plant corn on every available acre of their land.
act	A thing done; a deed or action.	His generous act of helping strangers made everyone proud.
acting	Performing as actor; temporary duty; theatrical performance; pretending.	She decided to pursue a career in acting after graduating from drama school.
action	Activity; deed; behavior; movement.	Quick action saved the company from bankruptcy.
activity	Action; pursuit; task; movement.	Reading is her favorite activity during weekend afternoons.
actor	Performer; player; participant; agent.	Tom Hanks is an actor known for his versatility.
actress	A female performer in theater, film, or television.	Meryl Streep became an actress after studying drama at Yale.
actuality	Actual existence; reality.	Theory is one thing, but actuality often proves more complicated than expected.
adaptation	Adjustment; modification; version; evolution.	Netflix produced a successful adaptation of the popular book series.
addiction	The condition of being dependent on a particular substance.	Overcoming addiction requires professional help and strong support.
